iteration,win_rate,new_wins,old_wins,draws,avg_value
1,50.00,20,20,0,-0.6156
1,50.00,20,20,0,-0.7659
1,50.00,20,20,0,0.0279
1,50.00,20,20,0,0.4044
2,50.00,20,20,0,0.3831
3,50.00,20,20,0,0.3828
4,50.00,20,20,0,0.3881
5,50.00,20,20,0,0.4081
6,50.00,20,20,0,0.3908
7,50.00,20,20,0,0.4107
8,50.00,20,20,0,0.4221
9,50.00,20,20,0,0.3846
10,50.00,20,20,0,0.3682
11,50.00,20,20,0,0.3877
12,50.00,20,20,0,0.3885
1,50.00,20,20,0,-0.3903
2,50.00,20,20,0,-0.4032
3,50.00,20,20,0,-0.3777
4,50.00,20,20,0,-0.4124
5,50.00,20,20,0,-0.3974
6,50.00,20,20,0,-0.4066
7,50.00,20,20,0,-0.3850
8,50.00,20,20,0,-0.4028
9,50.00,20,20,0,-0.3977
10,50.00,20,20,0,-0.4050
11,50.00,20,20,0,-0.3930
12,50.00,20,20,0,-0.4025
13,50.00,20,20,0,-0.4252
14,50.00,20,20,0,-0.4164
15,50.00,20,20,0,-0.3811
16,50.00,20,20,0,-0.3942
17,50.00,20,20,0,-0.3970
18,50.00,20,20,0,-0.4879
19,50.00,20,20,0,-0.3952
20,50.00,20,20,0,-0.3955
21,50.00,20,20,0,-0.3930
22,50.00,20,20,0,-0.4197
23,50.00,20,20,0,-0.4060
24,50.00,20,20,0,-0.4097
25,50.00,20,20,0,-0.3833
26,50.00,20,20,0,-0.3875
27,50.00,20,20,0,-0.3657
28,50.00,20,20,0,-0.3872
29,50.00,20,20,0,-0.3918
30,50.00,20,20,0,-0.3993
31,50.00,20,20,0,-0.4027
32,50.00,20,20,0,-0.4014
33,50.00,20,20,0,-0.4302
34,50.00,20,20,0,-0.3733
35,50.00,20,20,0,-0.4077
36,50.00,20,20,0,-0.3791
37,50.00,20,20,0,-0.3910
38,50.00,20,20,0,-0.3977
39,50.00,20,20,0,-0.3770
40,50.00,20,20,0,-0.4055
41,50.00,20,20,0,-0.4005
42,50.00,20,20,0,-0.3844
43,50.00,20,20,0,-0.4205
44,50.00,20,20,0,-0.3989
45,50.00,20,20,0,-0.4047
46,50.00,20,20,0,-0.4038
47,50.00,20,20,0,-0.3864
48,50.00,20,20,0,-0.4055
49,50.00,20,20,0,-0.3726
50,50.00,20,20,0,-0.3687
51,50.00,20,20,0,-0.3965
52,50.00,20,20,0,-0.4264
53,50.00,20,20,0,-0.3966
54,50.00,20,20,0,-0.4011
55,50.00,20,20,0,-0.3980
56,50.00,20,20,0,-0.4174
57,50.00,20,20,0,-0.3957
58,50.00,20,20,0,-0.3960
59,50.00,20,20,0,-0.4162
60,50.00,20,20,0,-0.4201
61,50.00,20,20,0,-0.4351
62,50.00,20,20,0,-0.3887
63,50.00,20,20,0,-0.4119
64,50.00,20,20,0,-0.4183
65,50.00,20,20,0,-0.4127
66,50.00,20,20,0,-0.3966
67,50.00,20,20,0,-0.4080
68,50.00,20,20,0,-0.4361
69,50.00,20,20,0,-0.4298
70,50.00,20,20,0,-0.4113
71,50.00,20,20,0,-0.3639
72,50.00,20,20,0,-0.4163
73,50.00,20,20,0,-0.3837
74,50.00,20,20,0,-0.3945
75,50.00,20,20,0,-0.3669
76,50.00,20,20,0,-0.4037
77,50.00,20,20,0,-0.3829
78,50.00,20,20,0,-0.4041
79,50.00,20,20,0,-0.4018
80,50.00,20,20,0,-0.3984
81,50.00,20,20,0,-0.4083
82,50.00,20,20,0,-0.4547
83,50.00,20,20,0,-0.4008
84,50.00,20,20,0,-0.3889
85,50.00,20,20,0,-0.3824
86,50.00,20,20,0,-0.3984
87,50.00,20,20,0,-0.3893
88,50.00,20,20,0,-0.4226
89,50.00,20,20,0,-0.3968
90,50.00,20,20,0,-0.3901
91,50.00,20,20,0,-0.4126
92,50.00,20,20,0,-0.3953
93,50.00,20,20,0,-0.3825
94,50.00,20,20,0,-0.3780
95,50.00,20,20,0,-0.3948
96,50.00,20,20,0,-0.4125
97,50.00,20,20,0,-0.4106
98,50.00,20,20,0,-0.4061
99,50.00,20,20,0,-0.4146
100,50.00,20,20,0,-0.4007
101,50.00,20,20,0,-0.4067
102,50.00,20,20,0,-0.3987
103,50.00,20,20,0,-0.3866
104,50.00,20,20,0,-0.4336
105,50.00,20,20,0,-0.4157
106,50.00,20,20,0,-0.3899
107,50.00,20,20,0,-0.4072
108,50.00,20,20,0,-0.3908
109,50.00,20,20,0,-0.4098
110,50.00,20,20,0,-0.3861
111,50.00,20,20,0,-0.4189
112,50.00,20,20,0,-0.4067
113,50.00,20,20,0,-0.4107
114,50.00,20,20,0,-0.4245
115,50.00,20,20,0,-0.4124
116,50.00,20,20,0,-0.4299
117,50.00,20,20,0,-0.4232
118,50.00,20,20,0,-0.4295
119,50.00,20,20,0,-0.4330
120,50.00,20,20,0,-0.3796
121,50.00,20,20,0,-0.3872
122,50.00,20,20,0,-0.3994
123,50.00,20,20,0,-0.4052
124,50.00,20,20,0,-0.4085
125,50.00,20,20,0,-0.4404
126,50.00,20,20,0,-0.3838
127,50.00,20,20,0,-0.3947
128,50.00,20,20,0,-0.4082
129,50.00,20,20,0,-0.3864
130,50.00,20,20,0,-0.4136
131,50.00,20,20,0,-0.3744
132,50.00,20,20,0,-0.3920
133,50.00,20,20,0,-0.3886
134,50.00,20,20,0,-0.3760
135,50.00,20,20,0,-0.3913
136,50.00,20,20,0,-0.3895
137,50.00,20,20,0,-0.3968
138,50.00,20,20,0,-0.4152
139,50.00,20,20,0,-0.4135
140,50.00,20,20,0,-0.3816
141,50.00,20,20,0,-0.4038
142,50.00,20,20,0,-0.4380
143,50.00,20,20,0,-0.4043
144,50.00,20,20,0,-0.4324
145,50.00,20,20,0,-0.3771
146,50.00,20,20,0,-0.4006
147,50.00,20,20,0,-0.4232
148,50.00,20,20,0,-0.3507
149,50.00,20,20,0,-0.4200
150,50.00,20,20,0,-0.3981
151,50.00,20,20,0,-0.4018
152,50.00,20,20,0,-0.3601
153,50.00,20,20,0,-0.4083
154,50.00,20,20,0,-0.4088
155,50.00,20,20,0,-0.4109
156,50.00,20,20,0,-0.4012
157,50.00,20,20,0,-0.3983
158,50.00,20,20,0,-0.4211
159,50.00,20,20,0,-0.3984
160,50.00,20,20,0,-0.3860
161,50.00,20,20,0,-0.4080
162,50.00,20,20,0,-0.4006
163,50.00,20,20,0,-0.3953
164,50.00,20,20,0,-0.4045
165,50.00,20,20,0,-0.3847
166,50.00,20,20,0,-0.4017
167,50.00,20,20,0,-0.4098
168,50.00,20,20,0,-0.3869
169,50.00,20,20,0,-0.4137
170,50.00,20,20,0,-0.3925
171,50.00,20,20,0,-0.3951
172,50.00,20,20,0,-0.3727
173,50.00,20,20,0,-0.4166
174,50.00,20,20,0,-0.3933
175,50.00,20,20,0,-0.4110
176,50.00,20,20,0,-0.4212
177,50.00,20,20,0,-0.4085
178,50.00,20,20,0,-0.3884
179,50.00,20,20,0,-0.4119
180,50.00,20,20,0,-0.3688
181,50.00,20,20,0,-0.3881
182,50.00,20,20,0,-0.4010
183,50.00,20,20,0,-0.4098
184,50.00,20,20,0,-0.3974
185,50.00,20,20,0,-0.3822
186,50.00,20,20,0,-0.4239
187,50.00,20,20,0,-0.3504
188,50.00,20,20,0,-0.3702
189,50.00,20,20,0,-0.4372
190,50.00,20,20,0,-0.4340
191,50.00,20,20,0,-0.4015
192,50.00,20,20,0,-0.4170
193,50.00,20,20,0,-0.3918
194,50.00,20,20,0,-0.4122
195,50.00,20,20,0,-0.3960
196,50.00,20,20,0,-0.3794
197,50.00,20,20,0,-0.4010
198,50.00,20,20,0,-0.4008
199,50.00,20,20,0,-0.3942
200,50.00,20,20,0,-0.4280
201,50.00,20,20,0,-0.4041
202,50.00,20,20,0,-0.4030
203,50.00,20,20,0,-0.4353
204,50.00,20,20,0,-0.3962
205,50.00,20,20,0,-0.4143
206,50.00,20,20,0,-0.3797
207,50.00,20,20,0,-0.4083
208,50.00,20,20,0,-0.3790
209,50.00,20,20,0,-0.4175
210,50.00,20,20,0,-0.4149
211,50.00,20,20,0,-0.4103
212,50.00,20,20,0,-0.4231
213,50.00,20,20,0,-0.4201
214,50.00,20,20,0,-0.4103
215,50.00,20,20,0,-0.4054
216,50.00,20,20,0,-0.3679
217,50.00,20,20,0,-0.4020
218,50.00,20,20,0,-0.4148
219,50.00,20,20,0,-0.4213
220,50.00,20,20,0,-0.3727
221,50.00,20,20,0,-0.3968
222,50.00,20,20,0,-0.4021
223,50.00,20,20,0,-0.4276
224,50.00,20,20,0,-0.3877
225,50.00,20,20,0,-0.4038
226,50.00,20,20,0,-0.4214
227,50.00,20,20,0,-0.4131
228,50.00,20,20,0,-0.4024
229,50.00,20,20,0,-0.4003
230,50.00,20,20,0,-0.4039
231,50.00,20,20,0,-0.4222
232,50.00,20,20,0,-0.4204
233,50.00,20,20,0,-0.3839
234,50.00,20,20,0,-0.3938
235,50.00,20,20,0,-0.3795
236,50.00,20,20,0,-0.3838
237,50.00,20,20,0,-0.4049
238,50.00,20,20,0,-0.4163
239,50.00,20,20,0,-0.3768
240,50.00,20,20,0,-0.4024
241,50.00,20,20,0,-0.4212
242,50.00,20,20,0,-0.4207
243,50.00,20,20,0,-0.5162
244,50.00,20,20,0,-0.4180
245,50.00,20,20,0,-0.4110
246,50.00,20,20,0,-0.3995
247,50.00,20,20,0,-0.3910
248,50.00,20,20,0,-0.3985
249,50.00,20,20,0,-0.3975
250,50.00,20,20,0,-0.3938
251,50.00,20,20,0,-0.3980
252,50.00,20,20,0,-0.4091
253,50.00,20,20,0,-0.4177
254,50.00,20,20,0,-0.3908
255,50.00,20,20,0,-0.4425
256,50.00,20,20,0,-0.3898
257,50.00,20,20,0,-0.4173
258,50.00,20,20,0,-0.4128
259,50.00,20,20,0,-0.4266
260,50.00,20,20,0,-0.4258
261,50.00,20,20,0,-0.4141
262,50.00,20,20,0,-0.4171
263,50.00,20,20,0,-0.3760
264,50.00,20,20,0,-0.4288
265,50.00,20,20,0,-0.3978
266,50.00,20,20,0,-0.3689
267,50.00,20,20,0,-0.4145
268,50.00,20,20,0,-0.4056
269,50.00,20,20,0,-0.5154
270,50.00,20,20,0,-0.4038
271,50.00,20,20,0,-0.3910
272,50.00,20,20,0,-0.4029
273,50.00,20,20,0,-0.4279
274,50.00,20,20,0,-0.4328
275,50.00,20,20,0,-0.3826
276,50.00,20,20,0,-0.3857
277,50.00,20,20,0,-0.4175
278,50.00,20,20,0,-0.3980
279,50.00,20,20,0,-0.4192
280,50.00,20,20,0,-0.4123
281,50.00,20,20,0,-0.4029
282,50.00,20,20,0,-0.3851
283,50.00,20,20,0,-0.4175
284,50.00,20,20,0,-0.4158
285,50.00,20,20,0,-0.3657
286,50.00,20,20,0,-0.4159
287,50.00,20,20,0,-0.4013
288,50.00,20,20,0,-0.4095
289,50.00,20,20,0,-0.4021
290,50.00,20,20,0,-0.4040
291,50.00,20,20,0,-0.3958
292,50.00,20,20,0,-0.4321
293,50.00,20,20,0,-0.3894
294,50.00,20,20,0,-0.3944
295,50.00,20,20,0,-0.4161
296,50.00,20,20,0,-0.3802
297,50.00,20,20,0,-0.4001
298,50.00,20,20,0,-0.4113
299,50.00,20,20,0,-0.4154
300,50.00,20,20,0,-0.3891
301,50.00,20,20,0,-0.4194
302,50.00,20,20,0,-0.3902
303,50.00,20,20,0,-0.4316
304,50.00,20,20,0,-0.4012
305,50.00,20,20,0,-0.4035
306,50.00,20,20,0,-0.4067
307,50.00,20,20,0,-0.4081
308,50.00,20,20,0,-0.3982
309,50.00,20,20,0,-0.3690
310,50.00,20,20,0,-0.4229
311,50.00,20,20,0,-0.4167
312,50.00,20,20,0,-0.4244
313,50.00,20,20,0,-0.3861
314,50.00,20,20,0,-0.3811
315,50.00,20,20,0,-0.4025
316,50.00,20,20,0,-0.4122
317,50.00,20,20,0,-0.3831
318,50.00,20,20,0,-0.3974
319,50.00,20,20,0,-0.4118
320,50.00,20,20,0,-0.4309
321,50.00,20,20,0,-0.3998
322,50.00,20,20,0,-0.4114
323,50.00,20,20,0,-0.3858
324,50.00,20,20,0,-0.3993
325,50.00,20,20,0,-0.3869
326,50.00,20,20,0,-0.4037
327,50.00,20,20,0,-0.4236
328,50.00,20,20,0,-0.4161
329,50.00,20,20,0,-0.4314
330,50.00,20,20,0,-0.4336
331,50.00,20,20,0,-0.3944
332,50.00,20,20,0,-0.3589
333,50.00,20,20,0,-0.4355
334,50.00,20,20,0,-0.4254
335,50.00,20,20,0,-0.3764
336,50.00,20,20,0,-0.3900
337,50.00,20,20,0,-0.4160
338,50.00,20,20,0,-0.4181
339,50.00,20,20,0,-0.4100
340,50.00,20,20,0,-0.3832
341,50.00,20,20,0,-0.4045
342,50.00,20,20,0,-0.3980
343,50.00,20,20,0,-0.4048
344,50.00,20,20,0,-0.4008
345,50.00,20,20,0,-0.3937
346,50.00,20,20,0,-0.4010
347,50.00,20,20,0,-0.3728
348,50.00,20,20,0,-0.4056
349,50.00,20,20,0,-0.3944
350,50.00,20,20,0,-0.3736
351,50.00,20,20,0,-0.4056
352,50.00,20,20,0,-0.4025
353,50.00,20,20,0,-0.4017
354,50.00,20,20,0,-0.4152
355,50.00,20,20,0,-0.3675
356,50.00,20,20,0,-0.3759
357,50.00,20,20,0,-0.3902
358,50.00,20,20,0,-0.4262
359,50.00,20,20,0,-0.3795
360,50.00,20,20,0,-0.3920
361,50.00,20,20,0,-0.3925
362,50.00,20,20,0,-0.3696
363,50.00,20,20,0,-0.3953
364,50.00,20,20,0,-0.4064
365,50.00,20,20,0,-0.3856
366,50.00,20,20,0,-0.4114
367,50.00,20,20,0,-0.3662
368,50.00,20,20,0,-0.4283
369,50.00,20,20,0,-0.4166
370,50.00,20,20,0,-0.4087
371,50.00,20,20,0,-0.3978
372,50.00,20,20,0,-0.3983
373,50.00,20,20,0,-0.4178
374,50.00,20,20,0,-0.3781
375,50.00,20,20,0,-0.3915
376,50.00,20,20,0,-0.3904
377,50.00,20,20,0,-0.4308
378,50.00,20,20,0,-0.4075
379,50.00,20,20,0,-0.3628
380,50.00,20,20,0,-0.3936
381,50.00,20,20,0,-0.4024
382,50.00,20,20,0,-0.3949
383,50.00,20,20,0,-0.4107
384,50.00,20,20,0,-0.4081
385,50.00,20,20,0,-0.4077
